Trade ID,Symbol,Side,Entry Time,Exit Time,Entry Price,Exit Price,PnL ($),PnL (%),Reason,Leverage
5e047a33,BNXUSDT,LONG,2022-05-01T12:30:00.000Z,2022-05-01T12:45:00.000Z,112.49,112.62,0.12,0.07,STOP_LOSS,10.0
da2be1cf,BNXUSDT,LONG,2022-05-01T19:15:00.000Z,2022-05-01T19:30:00.000Z,112.31,112.34,-0.03,-0.02,STOP_LOSS,10.0
eeb56761,DOGEUSDT,LONG,2022-05-02T08:30:00.000Z,2022-05-02T09:45:00.000Z,0.13,0.13,-0.15,-0.09,TRAILING_STOP,10.0
93ce42c2,ETHUSDT,LONG,2022-05-02T09:45:00.000Z,2022-05-02T11:00:00.000Z,2811.44,2794.62,-1.08,-0.64,STOP_LOSS,10.0
520857bd,SOLUSDT,LONG,2022-05-02T11:00:00.000Z,2022-05-02T11:15:00.000Z,86.66,86.39,-0.60,-0.35,STOP_LOSS,10.0
8819b6ad,ZECUSDT,LONG,2022-05-02T11:00:00.000Z,2022-05-02T11:15:00.000Z,116.87,116.55,-0.53,-0.31,STOP_LOSS,10.0
59f8f78b,BNXUSDT,LONG,2022-05-02T10:45:00.000Z,2022-05-02T11:15:00.000Z,115.57,115.49,-0.19,-0.11,TRAILING_STOP,10.0
21f84eb1,SOLUSDT,LONG,2022-05-02T13:30:00.000Z,2022-05-02T13:45:00.000Z,86.48,88.03,1.48,1.76,TAKE_PROFIT_1,10.0
20869768,ZECUSDT,LONG,2022-05-02T13:30:00.000Z,2022-05-02T13:45:00.000Z,116.09,118.55,1.75,2.07,TAKE_PROFIT_1,10.0
21f84eb1,SOLUSDT,LONG,2022-05-02T13:30:00.000Z,2022-05-02T17:00:00.000Z,86.48,86.39,-0.08,-0.14,BREAKEVEN,10.0
88dc0c8c,BTCUSDT,LONG,2022-05-02T13:30:00.000Z,2022-05-02T17:30:00.000Z,38340.19,38330.92,-0.11,-0.06,TRAILING_STOP,10.0
bdafbd08,SOLUSDT,LONG,2022-05-02T17:15:00.000Z,2022-05-02T17:30:00.000Z,85.78,85.73,-0.17,-0.10,TRAILING_STOP,10.0
